Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
ZRXUSDT,отскок,asks,0.3468,2023-04-04 23:20:26,0.3452,2023-04-04 23:22:35,True,0.043814239604776
ZRXUSDT,отскок,asks,0.3477,2023-04-05 00:19:32,0.3461,2023-04-05 00:21:08,True,0.04379660787527362
ZRXUSDT,отскок,asks,0.3466,2023-04-05 00:29:49,0.345,2023-04-05 00:35:51,True,0.04323450968586919
ZRXUSDT,отскок,bids,0.3447,2023-04-05 00:41:27,0.3434,2023-04-05 00:46:45,False,-0.08565552092817463
ZRXUSDT,отскок,bids,0.3437,2023-04-05 01:29:23,0.3423,2023-04-05 01:31:38,False,-0.09136597527356963
ZRXUSDT,отскок,asks,0.3403,2023-04-05 01:39:11,0.342,2023-04-05 01:48:27,False,-0.010535350948395888
ZRXUSDT,отскок,bids,0.3406,2023-04-05 02:16:23,0.3391,2023-04-05 02:20:24,False,-0.06655445600584488
ZRXUSDT,отскок,bids,0.3345,2023-04-05 02:48:33,0.3332,2023-04-05 02:49:06,False,-0.08688395579906873
ZRXUSDT,отскок,asks,0.3329,2023-04-05 02:50:19,0.3313,2023-04-05 02:52:17,True,0.04476922277932669
ZRXUSDT,отскок,bids,0.344,2023-04-05 03:10:59,0.3427,2023-04-05 03:11:15,False,-0.08457174933775714
ZRXUSDT,отскок,asks,0.3481,2023-04-05 03:12:25,0.3461,2023-04-05 03:12:52,True,0.05285233081139775
ZRXUSDT,отскок,asks,0.3516,2023-04-05 03:17:52,0.3528,2023-04-05 03:18:01,False,-0.03376622297064723
ZRXUSDT,отскок,asks,0.3557,2023-04-05 03:18:32,0.3537,2023-04-05 03:19:08,True,0.0960077167202237
ZRXUSDT,отскок,bids,0.3527,2023-04-05 03:21:50,0.3549,2023-04-05 03:22:00,True,0.05614341799387636
ZRXUSDT,отскок,bids,0.3566,2023-04-05 03:22:39,0.3549,2023-04-05 03:22:54,False,-0.10462064386018743
ZRXUSDT,отскок,bids,0.3547,2023-04-05 03:23:27,0.3534,2023-04-05 03:25:01,False,-0.0008543600908011498
ZRXUSDT,отскок,bids,0.3534,2023-04-05 03:26:03,0.355,2023-04-05 03:26:11,True,0.05443092636956685
ZRXUSDT,отскок,asks,0.3557,2023-04-05 03:26:18,0.357,2023-04-05 03:26:46,False,0.010297137177293105
ZRXUSDT,отскок,asks,0.3614,2023-04-05 03:27:19,0.3627,2023-04-05 03:28:09,False,0.002127191626482259
ZRXUSDT,отскок,asks,0.3613,2023-04-05 03:29:49,0.3625,2023-04-05 03:30:24,False,-0.0639696258123949
ZRXUSDT,отскок,asks,0.3635,2023-04-05 03:30:31,0.3656,2023-04-05 03:31:02,False,-0.08597485295914173
ZRXUSDT,отскок,bids,0.3601,2023-04-05 03:33:12,0.3589,2023-04-05 03:33:17,False,-0.07532626611021417
ZRXUSDT,отскок,bids,0.3633,2023-04-05 03:37:53,0.362,2023-04-05 03:38:08,False,-0.06828016284995722
ZRXUSDT,отскок,asks,0.3616,2023-04-05 03:38:42,0.3628,2023-04-05 03:39:00,False,-0.07453896300119019
ZRXUSDT,отскок,asks,0.3621,2023-04-05 03:39:07,0.3604,2023-04-05 03:39:56,True,0.045957468987163505
ZRXUSDT,отскок,bids,0.3596,2023-04-05 03:41:39,0.3613,2023-04-05 03:42:57,True,0.04870115289374523
ZRXUSDT,отскок,asks,0.361,2023-04-05 03:43:03,0.3622,2023-04-05 03:43:21,False,-0.0746823207395627
ZRXUSDT,отскок,asks,0.362,2023-04-05 03:43:25,0.3604,2023-04-05 03:44:23,True,0.0491039357978721
ZRXUSDT,отскок,asks,0.3572,2023-04-05 03:47:17,0.3584,2023-04-05 03:48:49,False,0.021021137071241383
ZRXUSDT,отскок,bids,0.3629,2023-04-05 03:51:32,0.3616,2023-04-05 03:51:47,False,-0.07971208565610534
ZRXUSDT,отскок,asks,0.3628,2023-04-05 03:54:02,0.3612,2023-04-05 03:55:41,True,0.04279912808405185
ZRXUSDT,отскок,bids,0.3691,2023-04-05 03:57:13,0.3679,2023-04-05 03:57:46,False,-0.027680547649879088
ZRXUSDT,отскок,bids,0.3688,2023-04-05 03:57:53,0.3687,2023-04-05 03:58:21,False,0.02378335091625515
ZRXUSDT,отскок,bids,0.3653,2023-04-05 03:59:33,0.3638,2023-04-05 04:00:04,False,-0.07604845250614653
ZRXUSDT,отскок,bids,0.3643,2023-04-05 04:00:25,0.3664,2023-04-05 04:00:32,True,0.06310422619747753
ZRXUSDT,отскок,asks,0.3684,2023-04-05 04:00:57,0.3698,2023-04-05 04:01:09,False,-0.05574066826286414
ZRXUSDT,отскок,asks,0.3692,2023-04-05 04:01:14,0.3705,2023-04-05 04:01:19,False,-0.07813078406102095
ZRXUSDT,отскок,bids,0.372,2023-04-05 04:01:46,0.3706,2023-04-05 04:01:47,False,-0.08248793250667738
ZRXUSDT,отскок,bids,0.3718,2023-04-05 04:01:51,0.374,2023-04-05 04:02:01,True,0.04704506384599496
ZRXUSDT,отскок,asks,0.3779,2023-04-05 04:05:26,0.376,2023-04-05 04:06:13,True,0.04993730577479241
ZRXUSDT,отскок,bids,0.3724,2023-04-05 04:08:02,0.3726,2023-04-05 04:09:03,False,0.04122824065687256
ZRXUSDT,отскок,asks,0.3765,2023-04-05 04:12:27,0.3747,2023-04-05 04:12:50,True,0.051940897484218755
ZRXUSDT,отскок,asks,0.3826,2023-04-05 04:14:08,0.3808,2023-04-05 04:14:55,True,0.04885510694386426
ZRXUSDT,отскок,asks,0.3859,2023-04-05 04:15:58,0.3876,2023-04-05 04:16:00,False,-0.09595281907198824
ZRXUSDT,отскок,asks,0.386,2023-04-05 04:16:04,0.3843,2023-04-05 04:16:11,True,0.05904189575280596
ZRXUSDT,отскок,asks,0.3846,2023-04-05 04:16:15,0.3827,2023-04-05 04:16:29,True,0.05582663516390708
ZRXUSDT,отскок,bids,0.3786,2023-04-05 04:19:50,0.3804,2023-04-05 04:20:14,True,0.04590633263394772
ZRXUSDT,отскок,asks,0.379,2023-04-05 04:23:04,0.3771,2023-04-05 04:23:45,True,0.04965780060114246
ZRXUSDT,отскок,bids,0.3777,2023-04-05 04:24:52,0.3762,2023-04-05 04:25:24,False,-0.08770907130509166
ZRXUSDT,отскок,bids,0.3753,2023-04-05 04:34:39,0.3739,2023-04-05 04:37:44,False,-0.04085108856503429
ZRXUSDT,отскок,bids,0.3783,2023-04-05 04:51:51,0.377,2023-04-05 04:53:23,False,-0.035340016680847144
ZRXUSDT,отскок,asks,0.3746,2023-04-05 05:17:19,0.3728,2023-04-05 05:18:49,True,0.04709527868188218
ZRXUSDT,отскок,bids,0.3707,2023-04-05 05:19:56,0.369,2023-04-05 05:21:09,False,-0.08342370181836366
ZRXUSDT,отскок,asks,0.3681,2023-04-05 05:23:16,0.3658,2023-04-05 05:25:05,True,0.05255632516549328
ZRXUSDT,отскок,bids,0.364,2023-04-05 05:28:04,0.3627,2023-04-05 05:30:31,False,-0.06776143832179674
ZRXUSDT,отскок,asks,0.355,2023-04-05 05:44:17,0.3534,2023-04-05 05:46:16,True,0.043058562668415984
ZRXUSDT,отскок,bids,0.3537,2023-04-05 05:47:25,0.3524,2023-04-05 05:48:18,False,-0.0559590308753312
ZRXUSDT,отскок,asks,0.3508,2023-04-05 05:51:58,0.3492,2023-04-05 05:52:32,True,0.04758201143400525
ZRXUSDT,отскок,asks,0.3493,2023-04-05 05:53:47,0.3506,2023-04-05 05:54:26,False,-0.08209318440123153
ZRXUSDT,отскок,asks,0.3501,2023-04-05 05:54:29,0.3513,2023-04-05 05:54:54,False,-0.07603311111200063
ZRXUSDT,отскок,asks,0.3509,2023-04-05 06:08:57,0.3522,2023-04-05 06:11:06,False,-0.08109932816385555
ZRXUSDT,отскок,asks,0.3504,2023-04-05 06:20:29,0.3488,2023-04-05 06:27:53,True,0.04327636974944291
ZRXUSDT,отскок,asks,0.3534,2023-04-05 07:41:28,0.3546,2023-04-05 07:49:07,False,-0.0515318505844012
ZRXUSDT,отскок,bids,0.3573,2023-04-05 07:52:06,0.3576,2023-04-05 07:52:36,False,0.028360141033014416
ZRXUSDT,отскок,bids,0.3533,2023-04-05 08:09:13,0.352,2023-04-05 08:09:47,False,-0.08032368504312085
ZRXUSDT,отскок,bids,0.3516,2023-04-05 09:48:49,0.3503,2023-04-05 09:49:48,False,-0.08033080079030895
ZRXUSDT,отскок,asks,0.3427,2023-04-05 10:39:24,0.3439,2023-04-05 10:57:49,False,0.00027372074305675315
ZRXUSDT,отскок,bids,0.3381,2023-04-05 11:58:36,0.3396,2023-04-05 12:02:01,True,0.04480959681915821
ZRXUSDT,отскок,bids,0.3421,2023-04-05 12:50:46,0.3438,2023-04-05 13:01:38,True,0.0443196707272221
ZRXUSDT,отскок,asks,0.3498,2023-04-05 13:54:03,0.3482,2023-04-05 13:54:53,True,0.042466606365034104
ZRXUSDT,отскок,asks,0.3489,2023-04-05 13:55:57,0.3473,2023-04-05 14:00:18,True,0.04584919713670174
ZRXUSDT,отскок,asks,0.3478,2023-04-05 14:06:09,0.3491,2023-04-05 14:06:35,False,-0.06965655860119332
ZRXUSDT,отскок,bids,0.3549,2023-04-05 14:55:26,0.3536,2023-04-05 14:58:51,False,-0.03721375382687504
ZRXUSDT,отскок,asks,0.3564,2023-04-05 15:01:30,0.3547,2023-04-05 15:04:01,True,0.04300647915069279
ZRXUSDT,отскок,asks,0.3505,2023-04-05 15:15:38,0.3487,2023-04-05 15:34:10,True,0.04398578377664703
ZRXUSDT,отскок,bids,0.3469,2023-04-05 15:34:47,0.3487,2023-04-05 15:35:32,True,0.0755783162441049
ZRXUSDT,отскок,asks,0.3489,2023-04-05 15:36:41,0.3502,2023-04-05 15:37:08,False,-0.08155989103520433
ZRXUSDT,отскок,bids,0.3492,2023-04-05 15:40:01,0.3509,2023-04-05 15:41:04,True,0.04188016892895968
ZRXUSDT,отскок,asks,0.3476,2023-04-05 16:00:24,0.3459,2023-04-05 16:01:26,True,0.06923532793354434
ZRXUSDT,отскок,bids,0.3495,2023-04-05 16:45:23,0.3478,2023-04-05 16:55:15,False,-0.007046808331895374
ZRXUSDT,отскок,asks,0.3435,2023-04-05 18:19:45,0.342,2023-04-05 18:27:14,True,0.03976167584723323
ZRXUSDT,отскок,bids,0.3442,2023-04-05 19:05:56,0.3428,2023-04-05 19:06:42,False,-0.07552199492377218
ZRXUSDT,отскок,bids,0.3453,2023-04-05 19:35:04,0.344,2023-04-05 19:36:16,False,-0.05661425538546211
ZRXUSDT,отскок,bids,0.3447,2023-04-05 19:36:20,0.3434,2023-04-05 19:37:06,False,-0.013371654675770103
ZRXUSDT,отскок,asks,0.3449,2023-04-05 19:38:55,0.3429,2023-04-05 19:39:15,True,0.0783871579871951
ZRXUSDT,отскок,bids,0.3418,2023-04-05 19:43:27,0.3405,2023-04-05 19:47:15,False,-0.052270071314874794
ZRXUSDT,отскок,bids,0.3344,2023-04-05 21:17:45,0.3331,2023-04-05 21:28:00,False,-0.041533274554203706
ZRXUSDT,отскок,bids,0.3332,2023-04-05 21:31:17,0.3335,2023-04-05 21:39:14,False,0.03356917490659624
ZRXUSDT,отскок,bids,0.3332,2023-04-05 21:48:20,0.3317,2023-04-05 21:48:58,False,-0.08130483334683387
ZRXUSDT,отскок,bids,0.3304,2023-04-05 23:46:24,0.3291,2023-04-05 23:54:57,False,-0.05833910339552975
ZRXUSDT,отскок,bids,0.3253,2023-04-06 00:39:03,0.3237,2023-04-06 00:47:34,False,-0.08836224612148873
ZRXUSDT,отскок,asks,0.3216,2023-04-06 02:39:54,0.3228,2023-04-06 02:46:37,False,-0.020279866388732262
ZRXUSDT,отскок,asks,0.3214,2023-04-06 02:47:51,0.3199,2023-04-06 02:52:27,True,0.04070237501108801
ZRXUSDT,отскок,bids,0.3034,2023-04-06 11:00:20,0.3048,2023-04-06 11:02:07,True,0.04463237907077808
ZRXUSDT,отскок,asks,0.301,2023-04-06 12:11:17,0.3021,2023-04-06 12:20:51,False,-0.001124693357221318
ZRXUSDT,отскок,bids,0.2993,2023-04-06 13:07:54,0.298,2023-04-06 13:16:35,False,-0.09236939851706424
ZRXUSDT,отскок,asks,0.298,2023-04-06 13:16:35,0.2967,2023-04-06 13:32:20,True,0.043693381543064194
ZRXUSDT,отскок,bids,0.2977,2023-04-06 15:05:16,0.299,2023-04-06 15:08:42,True,0.0410749886052831
ZRXUSDT,отскок,asks,0.2954,2023-04-06 16:00:20,0.2941,2023-04-06 16:02:39,True,0.046206018435692706
ZRXUSDT,отскок,asks,0.2982,2023-04-06 16:32:37,0.2968,2023-04-06 16:43:12,True,0.044876733094268914
ZRXUSDT,отскок,asks,0.2986,2023-04-06 17:00:19,0.2997,2023-04-06 17:01:43,False,-0.08013638139951237
ZRXUSDT,отскок,asks,0.2987,2023-04-06 17:26:00,0.2973,2023-04-06 17:29:07,True,0.04288738071327794
ZRXUSDT,отскок,bids,0.2987,2023-04-06 18:49:16,0.3001,2023-04-06 18:56:22,True,0.05119595011944071
ZRXUSDT,отскок,asks,0.2985,2023-04-06 19:00:22,0.2971,2023-04-06 19:19:46,True,0.043118948661611124
ZRXUSDT,отскок,asks,0.3004,2023-04-07 01:05:35,0.3015,2023-04-07 01:23:29,False,-0.03869935498113299
ZRXUSDT,отскок,bids,0.3019,2023-04-07 02:44:59,0.3006,2023-04-07 03:00:38,False,-0.023896877273399748
ZRXUSDT,отскок,bids,0.3007,2023-04-07 03:20:26,0.3025,2023-04-07 03:20:48,True,0.05908836980627936
ZRXUSDT,отскок,asks,0.302,2023-04-07 03:21:25,0.3032,2023-04-07 03:21:48,False,-0.08588502033682859
ZRXUSDT,отскок,asks,0.3119,2023-04-07 03:28:29,0.3104,2023-04-07 03:28:39,True,0.05751844054501957
ZRXUSDT,отскок,asks,0.2983,2023-04-07 03:32:27,0.2994,2023-04-07 03:33:12,False,-0.08031273581071421
