Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки,"Уровень, который мы использовали для отработки"
DOGEUSDT,отскок,asks,0.08035,2023-11-11 23:58:21,0.08039,2023-11-11 23:59:19,False,-9.837802389247827,0.08042
DOGEUSDT,отскок,asks,0.07835,2023-11-12 03:17:12,0.078,2023-11-12 03:19:39,True,21.53645572484629,0.0785
