Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
DOGEUSDT,отскок,asks,0.07568,2023-03-18 01:00:25,0.0758,2023-03-18 01:01:43,False,-0.04142666314399321
DOGEUSDT,отскок,asks,0.07555,2023-03-18 01:05:28,0.07568,2023-03-18 01:06:10,False,-0.04404844190770184
DOGEUSDT,отскок,asks,0.07583,2023-03-18 01:06:51,0.07595,2023-03-18 01:07:55,False,-0.027310815752831855
DOGEUSDT,отскок,asks,0.07586,2023-03-18 01:13:19,0.07599,2023-03-18 01:18:21,False,0.008314191735712852
DOGEUSDT,отскок,asks,0.07599,2023-03-18 01:22:28,0.07611,2023-03-18 01:22:59,False,-0.03473298212508479
DOGEUSDT,отскок,asks,0.07614,2023-03-18 01:29:38,0.07579,2023-03-18 01:33:13,True,0.041407163134599086
DOGEUSDT,отскок,asks,0.07602,2023-03-18 01:34:22,0.07614,2023-03-18 01:36:11,False,-0.01715374472123114
DOGEUSDT,отскок,bids,0.07624,2023-03-18 01:36:47,0.07658,2023-03-18 01:38:05,True,0.04397323810551913
DOGEUSDT,отскок,bids,0.07637,2023-03-18 01:38:56,0.07625,2023-03-18 01:41:14,False,-0.016025091176475
DOGEUSDT,отскок,bids,0.07695,2023-03-18 01:49:48,0.07683,2023-03-18 01:50:04,False,-0.04072106156767863
DOGEUSDT,отскок,asks,0.07625,2023-03-18 03:10:07,0.07637,2023-03-18 03:10:39,False,-0.040937393735537286
DOGEUSDT,отскок,asks,0.07598,2023-03-18 03:27:00,0.0761,2023-03-18 03:27:28,False,-0.040963986359176655
DOGEUSDT,отскок,asks,0.07651,2023-03-18 03:36:53,0.07663,2023-03-18 03:37:20,False,-0.040646879616914364
DOGEUSDT,отскок,asks,0.0773,2023-03-18 03:41:40,0.07745,2023-03-18 03:41:57,False,-0.04792875630425723
DOGEUSDT,отскок,asks,0.07754,2023-03-18 04:02:08,0.07766,2023-03-18 04:04:22,False,-0.004129500362980735
DOGEUSDT,отскок,asks,0.07766,2023-03-18 04:17:39,0.07779,2023-03-18 04:18:39,False,-0.03602836328014194
DOGEUSDT,отскок,bids,0.07729,2023-03-18 04:49:04,0.07717,2023-03-18 04:49:18,False,-0.04006184843960053
DOGEUSDT,отскок,asks,0.07729,2023-03-18 04:51:10,0.07743,2023-03-18 04:52:11,False,-0.0385544527807428
DOGEUSDT,отскок,asks,0.07758,2023-03-18 04:55:14,0.07779,2023-03-18 04:57:41,False,-0.04269840048379601
DOGEUSDT,отскок,bids,0.07761,2023-03-18 04:59:40,0.07747,2023-03-18 05:00:01,False,-0.04473956614637078
DOGEUSDT,отскок,bids,0.07735,2023-03-18 05:02:23,0.07723,2023-03-18 05:03:13,False,-0.039710309653786593
DOGEUSDT,отскок,asks,0.07731,2023-03-18 05:05:34,0.07746,2023-03-18 05:09:36,False,-0.020961901446554666
DOGEUSDT,отскок,bids,0.07852,2023-03-18 05:12:29,0.07854,2023-03-18 05:13:36,False,0.03863269016491542
DOGEUSDT,отскок,bids,0.07814,2023-03-18 05:17:15,0.07871,2023-03-18 05:17:33,True,0.07061425898891394
DOGEUSDT,отскок,bids,0.07813,2023-03-18 05:41:23,0.078,2023-03-18 05:43:32,False,-0.02772126566630368
DOGEUSDT,отскок,bids,0.07799,2023-03-18 06:54:21,0.07787,2023-03-18 06:57:26,False,-0.03950440283340355
DOGEUSDT,отскок,bids,0.07715,2023-03-18 08:04:00,0.07749,2023-03-18 08:21:47,True,0.04028786679048835
DOGEUSDT,отскок,asks,0.07746,2023-03-18 09:50:27,0.07759,2023-03-18 09:53:43,False,-0.04224615168706707
DOGEUSDT,отскок,bids,0.07708,2023-03-18 11:12:10,0.07689,2023-03-18 11:12:49,False,-0.0574470959208158
DOGEUSDT,отскок,asks,0.07695,2023-03-18 11:31:45,0.07707,2023-03-18 11:38:59,False,-0.015926702857924326
DOGEUSDT,отскок,bids,0.07688,2023-03-18 12:15:43,0.07676,2023-03-18 12:27:40,False,0.008230448962570608
DOGEUSDT,отскок,asks,0.0769,2023-03-18 12:29:30,0.07702,2023-03-18 12:35:32,False,-0.033591351724555234
DOGEUSDT,отскок,asks,0.07721,2023-03-18 12:40:13,0.07733,2023-03-18 12:48:14,False,-0.02626602370281404
DOGEUSDT,отскок,asks,0.07736,2023-03-18 12:48:57,0.07758,2023-03-18 13:16:16,False,-0.030847187438217537
