Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
DOGEUSDT,отскок,asks,0.08014,2023-04-28 22:00:31,0.08029,2023-04-28 22:03:00,False,-0.047160554030447534
DOGEUSDT,отскок,asks,0.08041,2023-04-28 22:03:19,0.08005,2023-04-28 22:23:24,True,0.04101254114653732
DOGEUSDT,отскок,asks,0.08052,2023-04-29 04:28:48,0.08064,2023-04-29 04:37:00,False,-0.03384658259791693
DOGEUSDT,отскок,asks,0.08083,2023-04-29 04:53:41,0.08075,2023-04-29 05:14:01,True,0.01640854962803352
DOGEUSDT,отскок,bids,0.07963,2023-04-30 23:50:50,0.07999,2023-05-01 00:09:03,True,0.04152308134381206
DOGEUSDT,отскок,bids,0.07806,2023-05-01 04:50:37,0.07787,2023-05-01 04:51:25,False,-0.03829453115905843
DOGEUSDT,отскок,bids,0.0788,2023-05-01 12:54:36,0.07868,2023-05-01 14:12:23,False,-0.026366483679281502
DOGEUSDT,отскок,bids,0.07871,2023-05-01 14:17:41,0.07878,2023-05-01 14:59:30,True,0.021437356921841726
DOGEUSDT,отскок,bids,0.07878,2023-05-01 14:59:43,0.07885,2023-05-01 15:59:07,True,0.021797558938015053
DOGEUSDT,отскок,bids,0.07849,2023-05-01 17:44:23,0.07835,2023-05-01 18:16:01,False,-0.0199056056615416
DOGEUSDT,отскок,bids,0.07811,2023-05-01 19:09:58,0.07797,2023-05-01 19:11:08,False,-0.03892769182288427
DOGEUSDT,отскок,asks,0.07819,2023-05-01 23:40:44,0.07783,2023-05-01 23:57:57,True,0.04277389720641049
